order_id;order_date;customer_id;city;customer_latitude;customer_longitude;sku;category;qty;unit_price_rp;sales_rp;weight_kg
ORD000021;12/11/2025;CUST25679;Yogyakarta;-7.751.344;110.351.197;SKU-B;Beverage;12;55000;660000;14.4
ORD000022;16/04/2026;CUST15781;Bekasi;-6.223.072;107.009.134;SKU-D;PersonalCare;24;85000;2040000;36.0
ORD000023;06/03/2026;CUST04053;Jakarta;-6.200.031;106.867.989;SKU-B;Beverage;26;55000;1430000;31.2
ORD000024;25/12/2025;CUST29846;Semarang;-6.968.472;110.391.648;SKU-B;Beverage;6;55000;330000;7.2
ORD000025;14/02/2026;CUST25025;Kediri;-7.893.622;11.197.306;SKU-D;PersonalCare;17;85000;1445000;25.5
ORD000026;06/04/2026;CUST29747;Depok;-6.403.019;106.800.229;SKU-C;Snack;21;15000;315000;4.2
ORD000027;17/11/2025;CUST25610;Semarang;-69.627;110.373.154;SKU-B;Beverage;7;55000;385000;8.4
ORD000028;21/02/2026;CUST27770;Tangerang;-6.152.713;106.679.867;SKU-B;Beverage;18;55000;990000;21.6
ORD000029;26/11/2025;CUST14186;Jakarta;-6.197.126;106.826.023;SKU-A;Powder;13;25000;325000;6.5
ORD000030;12/03/2026;CUST09737;Tangerang;-6.209.048;106.614.807;SKU-C;Snack;8;15000;120000;1.6
ORD000031;24/01/2026;CUST08291;Tangerang;-6.215.519;1.066.507;SKU-A;Powder;15;25000;375000;7.5
ORD000032;14/04/2026;CUST06403;Bogor;-6.564.087;106.787.075;SKU-D;PersonalCare;22;85000;1870000;33.0
ORD000033;01/03/2026;CUST24905;Bekasi;-6.212.635;1.070.027;SKU-A;Powder;35;25000;875000;17.5
ORD000034;27/11/2025;CUST20174;Jakarta;-6.251.044;106.878.079;SKU-A;Powder;11;25000;275000;5.5
ORD000035;02/11/2025;CUST24796;Bogor;-6.580.249;106.775.234;SKU-D;PersonalCare;24;85000;2040000;36.0
ORD000036;25/12/2025;CUST06944;Jakarta;-6.184.719;106.845.522;SKU-D;PersonalCare;6;85000;510000;9.0
ORD000037;09/02/2026;CUST18918;Surabaya;-7.296.235;11.276.278;SKU-C;Snack;8;15000;120000;1.6
ORD000038;21/04/2026;CUST15137;Jakarta;-621.058;106.875.066;SKU-A;Powder;27;25000;675000;13.5
ORD000039;05/12/2025;CUST18960;Kediri;-7.812.267;112.010.563;SKU-D;PersonalCare;25;85000;2125000;37.5
ORD000040;23/01/2026;CUST26235;Solo;-7.618.858;110.829.925;SKU-A;Powder;9;25000;225000;4.5
ORD000041;09/02/2026;CUST13522;Bandung;-695.633;107.601.813;SKU-C;Snack;23;15000;345000;4.6
ORD000042;08/03/2026;CUST28648;Malang;-7.964.905;112.587.138;SKU-A;Powder;22;25000;550000;11.0
ORD000043;21/01/2026;CUST13910;Yogyakarta;-7.782.143;110.354.948;SKU-A;Powder;14;25000;350000;7.0
ORD000044;17/11/2025;CUST08857;Bandung;-6.947.092;107.593.898;SKU-A;Powder;11;25000;275000;5.5
ORD000045;12/03/2026;CUST14794;Jakarta;-6.251.625;106.853.682;SKU-D;PersonalCare;10;85000;850000;15.0
ORD000046;07/11/2025;CUST05972;Jakarta;-6.244.561;106.849.949;SKU-A;Powder;23;25000;575000;11.5
ORD000047;20/02/2026;CUST16999;Kediri;-7.881.566;112.013.924;SKU-A;Powder;12;25000;300000;6.0
ORD000048;17/12/2025;CUST06798;Semarang;-700.435;11.045.167;SKU-D;PersonalCare;13;85000;1105000;19.5
ORD000049;19/02/2026;CUST24498;Bekasi;-6.261.057;106.984.322;SKU-B;Beverage;25;55000;1375000;30.0
ORD000050;13/02/2026;CUST17678;Bekasi;-6.261.968;106.999.878;SKU-D;PersonalCare;17;85000;1445000;25.5
ORD000051;22/02/2026;CUST20627;Bekasi;-6.227.572;106.984.168;SKU-D;PersonalCare;16;85000;1360000;24.0
ORD000052;22/02/2026;CUST00126;Surabaya;-7.240.811;112.737.529;SKU-C;Snack;15;15000;225000;3.0
ORD000053;07/04/2026;CUST15275;Semarang;-7.003.436;110.375.629;SKU-C;Snack;15;15000;225000;3.0
ORD000054;06/02/2026;CUST27405;Semarang;-6.994.819;110.397.605;SKU-C;Snack;10;15000;150000;2.0
ORD000055;13/12/2025;CUST26085;Bandung;-6.878.002;107.581.309;SKU-C;Snack;18;15000;270000;3.6
ORD000056;20/02/2026;CUST18377;Serang;-6.093.577;106.145.029;SKU-A;Powder;11;25000;275000;5.5
ORD000057;31/01/2026;CUST14875;Depok;-6.439.512;106.828.761;SKU-C;Snack;23;15000;345000;4.6
ORD000058;12/11/2025;CUST21077;Surabaya;-7.277.099;112.720.957;SKU-A;Powder;15;25000;375000;7.5
ORD000059;16/03/2026;CUST29604;Solo;-7.556.187;110.783.475;SKU-C;Snack;24;15000;360000;4.8
ORD000060;25/03/2026;CUST13801;Jakarta;-6.252.863;106.845.299;SKU-A;Powder;8;25000;200000;4.0
ORD000061;02/11/2025;CUST07586;Malang;-7.979.374;112.609.664;SKU-A;Powder;13;25000;325000;6.5
ORD000062;14/01/2026;CUST26589;Tangerang;-6.199.506;106.588.817;SKU-C;Snack;7;15000;105000;1.4
ORD000063;17/12/2025;CUST29674;Yogyakarta;-7.778.425;110.407.633;SKU-B;Beverage;15;55000;825000;18.0
ORD000064;27/12/2025;CUST13350;Surabaya;-7.274.631;112.787.946;SKU-B;Beverage;29;55000;1595000;34.8
ORD000065;23/11/2025;CUST18551;Kediri;-7.858.086;11.199.837;SKU-A;Powder;22;25000;550000;11.0
ORD000066;02/02/2026;CUST17904;Jakarta;-6.240.274;106.800.302;SKU-D;PersonalCare;17;85000;1445000;25.5
ORD000067;20/01/2026;CUST09926;Cirebon;-6.740.196;108.562.273;SKU-C;Snack;16;15000;240000;3.2
ORD000068;06/02/2026;CUST24071;Bogor;-6.564.096;106.832.798;SKU-B;Beverage;16;55000;880000;19.2
ORD000069;24/02/2026;CUST00631;Jakarta;-6.175.119;106.856.552;SKU-B;Beverage;11;55000;605000;13.2
ORD000070;16/01/2026;CUST21265;Semarang;-6.944.009;110.421.256;SKU-A;Powder;15;25000;375000;7.5
ORD000071;29/11/2025;CUST26104;Malang;-794.395;112.615.491;SKU-A;Powder;4;25000;100000;2.0
ORD000072;04/01/2026;CUST02640;Surabaya;-7.301.748;112.715.625;SKU-D;PersonalCare;5;85000;425000;7.5
ORD000073;26/11/2025;CUST02496;Jakarta;-625.801;106.871.859;SKU-D;PersonalCare;10;85000;850000;15.0
ORD000074;21/04/2026;CUST22396;Malang;-7.942.548;11.267.555;SKU-A;Powder;11;25000;275000;5.5
ORD000075;15/11/2025;CUST24201;Yogyakarta;-775.485;110.344.406;SKU-D;PersonalCare;13;85000;1105000;19.5
ORD000076;18/04/2026;CUST15526;Serang;-6.088.943;106.110.978;SKU-D;PersonalCare;33;85000;2805000;49.5
ORD000077;30/04/2026;CUST12427;Tangerang;-6.182.556;106.666.081;SKU-C;Snack;8;15000;120000;1.6
ORD000078;12/04/2026;CUST10922;Semarang;-6.928.889;110.422.756;SKU-B;Beverage;33;55000;1815000;39.6
ORD000079;19/12/2025;CUST13671;Bekasi;-6.230.107;106.961.359;SKU-D;PersonalCare;24;85000;2040000;36.0
ORD000080;15/03/2026;CUST07805;Depok;-6.391.572;106.770.969;SKU-C;Snack;11;15000;165000;2.2
ORD000081;31/03/2026;CUST15033;Solo;-7.590.767;110.820.512;SKU-B;Beverage;27;55000;1485000;32.4
ORD000082;13/02/2026;CUST14402;Kediri;-7.893.851;111.971.821;SKU-C;Snack;23;15000;345000;4.6
ORD000083;21/03/2026;CUST11929;Surabaya;-725.338;112.715.724;SKU-B;Beverage;13;55000;715000;15.6
ORD000084;10/01/2026;CUST17010;Malang;-7.943.816;112.625.112;SKU-B;Beverage;12;55000;660000;14.4
ORD000085;13/01/2026;CUST09171;Yogyakarta;-7.757.574;110.416.311;SKU-A;Powder;14;25000;350000;7.0
ORD000086;22/02/2026;CUST19921;Solo;-7.618.083;110.827.809;SKU-D;PersonalCare;18;85000;1530000;27.0
ORD000087;10/12/2025;CUST16129;Semarang;-6.985.199;110.382.102;SKU-A;Powder;19;25000;475000;9.5
ORD000088;19/12/2025;CUST29540;Bekasi;-6.196.282;106.949.266;SKU-A;Powder;22;25000;550000;11.0
ORD000089;25/03/2026;CUST05245;Yogyakarta;-7.788.354;110.370.965;SKU-C;Snack;23;15000;345000;4.6
ORD000090;01/02/2026;CUST13794;Surabaya;-722.867;112.766.251;SKU-C;Snack;16;15000;240000;3.2
ORD000091;27/01/2026;CUST16598;Bekasi;-6.202.599;106.944.701;SKU-D;PersonalCare;9;85000;765000;13.5
ORD000092;27/01/2026;CUST16543;Surabaya;-7.300.684;11.278.756;SKU-C;Snack;25;15000;375000;5.0
ORD000093;04/01/2026;CUST08538;Jakarta;-6.230.194;106.875.353;SKU-B;Beverage;22;55000;1210000;26.4
ORD000094;17/12/2025;CUST23240;Cirebon;-6.705.922;108.512.467;SKU-D;PersonalCare;34;85000;2890000;51.0
ORD000095;14/12/2025;CUST23524;Jakarta;-6.247.868;10.683.558;SKU-D;PersonalCare;11;85000;935000;16.5
ORD000096;09/02/2026;CUST07381;Surabaya;-7.233.844;112.765.576;SKU-D;PersonalCare;16;85000;1360000;24.0
ORD000097;11/12/2025;CUST23061;Jakarta;-6.201.884;106.814.377;SKU-C;Snack;27;15000;405000;5.4
ORD000098;24/02/2026;CUST06547;Cirebon;-6.708.832;108.595.626;SKU-D;PersonalCare;12;85000;1020000;18.0
ORD000099;23/12/2025;CUST19829;Tangerang;-6.196.597;106.635.811;SKU-A;Powder;27;25000;675000;13.5
ORD000100;15/01/2026;CUST19213;Kediri;-7.888.116;112.027.393;SKU-C;Snack;6;15000;90000;1.2
ORD000101;16/04/2026;CUST05199;Jakarta;-6.235.304;106.863.917;SKU-D;PersonalCare;30;85000;2550000;45.0
ORD000102;24/12/2025;CUST15249;Bandung;-6.942.827;107.615.308;SKU-D;PersonalCare;9;85000;765000;13.5
ORD000103;26/03/2026;CUST10176;Malang;-8.012.643;112.631.606;SKU-B;Beverage;28;55000;1540000;33.6
ORD000104;06/12/2025;CUST07954;Serang;-6.150.566;106.183.071;SKU-C;Snack;21;15000;315000;4.2
ORD000105;15/01/2026;CUST16143;Yogyakarta;-7.763.724;110.340.547;SKU-D;PersonalCare;18;85000;1530000;27.0
ORD000106;16/02/2026;CUST18027;Tangerang;-6.142.578;106.637.148;SKU-A;Powder;4;25000;100000;2.0
ORD000107;20/04/2026;CUST06642;Jakarta;-6.175.594;106.887.423;SKU-B;Beverage;26;55000;1430000;31.2
ORD000108;26/01/2026;CUST08908;Jakarta;-616.196;106.890.409;SKU-C;Snack;10;15000;150000;2.0
ORD000109;25/02/2026;CUST23521;Yogyakarta;-7.814.539;110.379.245;SKU-A;Powder;10;25000;250000;5.0
ORD000110;16/11/2025;CUST15640;Jakarta;-6.206.064;106.856.816;SKU-A;Powder;17;25000;425000;8.5
ORD000111;26/01/2026;CUST28546;Bogor;-6.615.318;106.775.307;SKU-D;PersonalCare;24;85000;2040000;36.0
ORD000112;07/12/2025;CUST13663;Bogor;-6.573.589;106.770.569;SKU-A;Powder;15;25000;375000;7.5
ORD000113;25/01/2026;CUST27043;Surabaya;-7.302.094;112.711.866;SKU-D;PersonalCare;6;85000;510000;9.0
ORD000114;09/11/2025;CUST21326;Solo;-756.205;110.853.897;SKU-B;Beverage;20;55000;1100000;24.0
ORD000115;11/01/2026;CUST03927;Tangerang;-6.174.254;106.628.385;SKU-C;Snack;7;15000;105000;1.4
ORD000116;26/01/2026;CUST10216;Surabaya;-7.302.437;112.707.782;SKU-A;Powder;21;25000;525000;10.5
ORD000117;03/04/2026;CUST11567;Yogyakarta;-7.808.212;110.418.328;SKU-C;Snack;35;15000;525000;7.0
ORD000118;16/01/2026;CUST27387;Tangerang;-6.221.022;106.593.503;SKU-C;Snack;23;15000;345000;4.6
ORD000119;11/02/2026;CUST12270;Depok;-6.359.406;10.679.247;SKU-A;Powder;10;25000;250000;5.0
ORD000120;10/03/2026;CUST09252;Bandung;-6.933.417;107.642.379;SKU-C;Snack;30;15000;450000;6.0
ORD000121;19/04/2026;CUST19036;Bandung;-6.912.813;107.570.654;SKU-A;Powder;28;25000;700000;14.0
ORD000122;08/02/2026;CUST13942;Jakarta;-6.181.509;106.862.756;SKU-A;Powder;17;25000;425000;8.5
ORD000123;05/03/2026;CUST12501;Jember;-8.203.363;113.674.072;SKU-A;Powder;11;25000;275000;5.5
ORD000124;14/12/2025;CUST19602;Semarang;-6.988.432;110.434.672;SKU-C;Snack;14;15000;210000;2.8
ORD000125;08/04/2026;CUST08096;Surabaya;-7.252.837;11.272.082;SKU-A;Powder;35;25000;875000;17.5
ORD000126;30/01/2026;CUST23160;Bogor;-6.567.979;106.787.144;SKU-A;Powder;24;25000;600000;12.0
ORD000127;08/03/2026;CUST21056;Tangerang;-6.153.947;106.659.318;SKU-C;Snack;13;15000;195000;2.6
ORD000128;11/01/2026;CUST22021;Kediri;-7.840.209;112.018.556;SKU-C;Snack;24;15000;360000;4.8
ORD000129;20/01/2026;CUST29984;Semarang;-6.954.585;110.451.464;SKU-B;Beverage;11;55000;605000;13.2
ORD000130;26/12/2025;CUST00009;Serang;-6.104.902;106.169.052;SKU-C;Snack;11;15000;165000;2.2
ORD000131;30/11/2025;CUST17118;Surabaya;-7.285.832;11.277.249;SKU-A;Powder;21;25000;525000;10.5
ORD000132;13/04/2026;CUST03976;Surabaya;-7.286.082;112.721.156;SKU-D;PersonalCare;30;85000;2550000;45.0
ORD000133;12/11/2025;CUST09079;Depok;-6.377.912;106.816.139;SKU-C;Snack;9;15000;135000;1.8
ORD000134;27/12/2025;CUST18882;Semarang;-695.289;110.446.683;SKU-A;Powder;25;25000;625000;12.5
ORD000135;04/11/2025;CUST09720;Jakarta;-6.228.072;106.859.634;SKU-C;Snack;4;15000;60000;0.8
ORD000136;19/03/2026;CUST14571;Jakarta;-6.194.671;106.854.745;SKU-B;Beverage;35;55000;1925000;42.0
ORD000137;12/04/2026;CUST09523;Solo;-7.556.076;110.847.024;SKU-D;PersonalCare;20;85000;1700000;30.0
ORD000138;10/02/2026;CUST02910;Bekasi;-6.288.242;107.011.905;SKU-D;PersonalCare;10;85000;850000;15.0
ORD000139;05/03/2026;CUST27674;Malang;-8.008.416;112.597.653;SKU-A;Powder;10;25000;250000;5.0
ORD000140;05/03/2026;CUST10355;Kediri;-7.849.342;112.001.141;SKU-B;Beverage;13;55000;715000;15.6
ORD000141;16/12/2025;CUST10667;Malang;-7.971.321;112.592.375;SKU-D;PersonalCare;10;85000;850000;15.0
ORD000142;12/11/2025;CUST17295;Bandung;-6.927.112;107.667.179;SKU-C;Snack;8;15000;120000;1.6
ORD000143;22/02/2026;CUST19496;Bandung;-6.926.668;107.659.027;SKU-A;Powder;19;25000;475000;9.5
ORD000144;06/04/2026;CUST23261;Tangerang;-6.195.292;1.066.737;SKU-C;Snack;20;15000;300000;4.0
ORD000145;12/12/2025;CUST21846;Surabaya;-7.297.288;11.275.317;SKU-B;Beverage;13;55000;715000;15.6
ORD000146;06/03/2026;CUST07908;Yogyakarta;-7.808.554;11.040.799;SKU-D;PersonalCare;37;85000;3145000;55.5
ORD000147;26/02/2026;CUST18494;Bandung;-6.934.301;107.665.265;SKU-C;Snack;16;15000;240000;3.2
ORD000148;21/02/2026;CUST21189;Surabaya;-723.605;112.746.056;SKU-A;Powder;10;25000;250000;5.0
ORD000149;28/02/2026;CUST23311;Surabaya;-7.213.265;112.779.835;SKU-C;Snack;4;15000;60000;0.8
ORD000150;20/02/2026;CUST15502;Malang;-8.010.677;112.662.178;SKU-A;Powder;14;25000;350000;7.0
ORD000151;27/11/2025;CUST19817;Yogyakarta;-7.828.045;110.360.183;SKU-D;PersonalCare;13;85000;1105000;19.5
ORD000152;13/02/2026;CUST20733;Depok;-6.359.808;106.806.696;SKU-B;Beverage;23;55000;1265000;27.6
ORD000153;25/02/2026;CUST23487;Yogyakarta;-78.367;110.333.002;SKU-B;Beverage;23;55000;1265000;27.6
ORD000154;24/01/2026;CUST21153;Cirebon;-6.755.084;108.599.165;SKU-C;Snack;5;15000;75000;1.0
ORD000155;22/11/2025;CUST21059;Solo;-756.537;110.802.692;SKU-D;PersonalCare;18;85000;1530000;27.0
ORD000156;14/03/2026;CUST13892;Depok;-6.403.816;106.786.861;SKU-A;Powder;29;25000;725000;14.5
ORD000157;10/03/2026;CUST13655;Semarang;-7.011.841;110.408.116;SKU-B;Beverage;10;55000;550000;12.0
ORD000158;23/12/2025;CUST02568;Tangerang;-6.185.431;106.586.587;SKU-B;Beverage;21;55000;1155000;25.2
ORD000159;18/03/2026;CUST15121;Kediri;-7.809.367;112.053.129;SKU-D;PersonalCare;32;85000;2720000;48.0
ORD000160;10/03/2026;CUST11162;Bandung;-6.915.091;107.630.511;SKU-B;Beverage;31;55000;1705000;37.2
ORD000161;18/03/2026;CUST21555;Tangerang;-6.216.048;106.587.433;SKU-D;PersonalCare;15;85000;1275000;22.5
ORD000162;27/03/2026;CUST15923;Cirebon;-6.755.069;108.511.327;SKU-A;Powder;16;25000;400000;8.0
ORD000163;14/11/2025;CUST11482;Bogor;-6.625.982;10.680.102;SKU-C;Snack;12;15000;180000;2.4
ORD000164;10/03/2026;CUST27783;Yogyakarta;-7.774.452;110.393.332;SKU-D;PersonalCare;10;85000;850000;15.0
ORD000165;08/12/2025;CUST12954;Surabaya;-7.244.665;112.769.352;SKU-C;Snack;25;15000;375000;5.0
ORD000166;01/04/2026;CUST28543;Tangerang;-6.214.302;106.651.769;SKU-A;Powder;16;25000;400000;8.0
ORD000167;26/03/2026;CUST26518;Yogyakarta;-7.825.272;110.414.607;SKU-A;Powder;32;25000;800000;16.0
ORD000168;08/01/2026;CUST10303;Malang;-7.931.245;11.267.695;SKU-B;Beverage;12;55000;660000;14.4
ORD000169;02/12/2025;CUST13227;Yogyakarta;-7.836.037;110.379.729;SKU-C;Snack;12;15000;180000;2.4
ORD000170;06/12/2025;CUST24533;Malang;-793.666;112.673.308;SKU-B;Beverage;27;55000;1485000;32.4
ORD000171;18/12/2025;CUST06984;Solo;-7.583.483;110.864.644;SKU-B;Beverage;24;55000;1320000;28.8
ORD000172;17/04/2026;CUST28954;Bandung;-6.917.355;107.575.187;SKU-A;Powder;24;25000;600000;12.0
ORD000173;26/12/2025;CUST25215;Yogyakarta;-7.774.056;110.416.107;SKU-B;Beverage;26;55000;1430000;31.2
ORD000174;25/11/2025;CUST21687;Malang;-79.541;112.652.828;SKU-B;Beverage;12;55000;660000;14.4
ORD000175;26/02/2026;CUST20237;Kediri;-7.823.134;112.061.576;SKU-A;Powder;6;25000;150000;3.0
ORD000176;29/03/2026;CUST01935;Malang;-7.967.076;112.636.973;SKU-D;PersonalCare;14;85000;1190000;21.0
ORD000177;16/11/2025;CUST09989;Bandung;-6.909.357;107.596.268;SKU-A;Powder;4;25000;100000;2.0
ORD000178;15/12/2025;CUST13921;Serang;-6.104.479;106.169.084;SKU-D;PersonalCare;23;85000;1955000;34.5
ORD000179;17/11/2025;CUST15459;Solo;-7.566.977;110.826.525;SKU-B;Beverage;17;55000;935000;20.4
ORD000180;27/11/2025;CUST06002;Serang;-61.386;106.139.347;SKU-D;PersonalCare;18;85000;1530000;27.0
ORD000181;28/02/2026;CUST29905;Semarang;-6.930.558;11.039.857;SKU-B;Beverage;5;55000;275000;6.0
ORD000182;20/11/2025;CUST14652;Surabaya;-7.277.771;112.710.591;SKU-B;Beverage;22;55000;1210000;26.4
ORD000183;07/11/2025;CUST03306;Jakarta;-6.228.824;106.836.459;SKU-D;PersonalCare;16;85000;1360000;24.0
ORD000184;28/04/2026;CUST12655;Surabaya;-7.269.445;112.774.504;SKU-C;Snack;22;15000;330000;4.4
ORD000185;31/12/2025;CUST16824;Jember;-818.444;113.702.163;SKU-C;Snack;9;15000;135000;1.8
ORD000186;02/03/2026;CUST18629;Semarang;-6.961.615;110.418.666;SKU-B;Beverage;41;55000;2255000;49.2
ORD000187;29/12/2025;CUST17400;Bogor;-662.455;106.773.204;SKU-C;Snack;12;15000;180000;2.4
ORD000188;05/04/2026;CUST29085;Yogyakarta;-7.762.135;11.035.957;SKU-C;Snack;25;15000;375000;5.0
ORD000189;11/03/2026;CUST23865;Jakarta;-6.214.755;106.894.812;SKU-D;PersonalCare;27;85000;2295000;40.5
ORD000190;04/11/2025;CUST05213;Jakarta;-6.164.274;106.869.273;SKU-A;Powder;23;25000;575000;11.5
ORD000191;11/02/2026;CUST05154;Jakarta;-6.212.558;106.839.779;SKU-D;PersonalCare;19;85000;1615000;28.5
ORD000192;25/04/2026;CUST02691;Bekasi;-6.189.617;106.997.825;SKU-B;Beverage;35;55000;1925000;42.0
ORD000193;01/12/2025;CUST16307;Solo;-7.575.414;110.779.427;SKU-C;Snack;10;15000;150000;2.0
ORD000194;24/04/2026;CUST14390;Yogyakarta;-7.758.545;110.415.585;SKU-D;PersonalCare;35;85000;2975000;52.5
ORD000195;24/11/2025;CUST23368;Jakarta;-6.257.055;106.846.118;SKU-A;Powder;23;25000;575000;11.5
ORD000196;01/11/2025;CUST08343;Depok;-6.407.557;106.808.753;SKU-D;PersonalCare;16;85000;1360000;24.0
ORD000197;15/03/2026;CUST29370;Jakarta;-6.224.269;106.878.811;SKU-B;Beverage;42;55000;2310000;50.4
ORD000198;04/04/2026;CUST23537;Solo;-7.591.224;110.871.349;SKU-C;Snack;35;15000;525000;7.0
ORD000199;31/03/2026;CUST11597;Jember;-8.199.416;11.373.291;SKU-D;PersonalCare;28;85000;2380000;42.0
ORD000200;28/11/2025;CUST14486;Yogyakarta;-7.796.369;110.405.097;SKU-B;Beverage;23;55000;1265000;27.6
ORD000201;03/02/2026;CUST14891;Tangerang;-6.200.383;10.661.664;SKU-C;Snack;8;15000;120000;1.6
ORD000202;13/04/2026;CUST09158;Semarang;-6.929.453;110.379.423;SKU-D;PersonalCare;28;85000;2380000;42.0
ORD000203;18/02/2026;CUST06973;Bogor;-6.593.481;106.844.427;SKU-B;Beverage;11;55000;605000;13.2
ORD000204;01/04/2026;CUST16767;Bandung;-6.878.307;107.605.618;SKU-C;Snack;25;15000;375000;5.0
ORD000205;26/03/2026;CUST08495;Semarang;-6.921.744;110.456.507;SKU-D;PersonalCare;29;85000;2465000;43.5
ORD000206;25/11/2025;CUST22450;Yogyakarta;-782.212;110.371.022;SKU-C;Snack;27;15000;405000;5.4
ORD000207;20/12/2025;CUST08088;Malang;-8.001.961;112.633.513;SKU-A;Powder;24;25000;600000;12.0
ORD000208;14/11/2025;CUST02055;Tangerang;-6.201.126;106.606.511;SKU-A;Powder;19;25000;475000;9.5
ORD000209;24/01/2026;CUST25651;Jember;-8.155.977;113.696.861;SKU-D;PersonalCare;22;85000;1870000;33.0
ORD000210;09/03/2026;CUST27077;Cirebon;-6.702.737;108.503.287;SKU-D;PersonalCare;28;85000;2380000;42.0
ORD000211;02/03/2026;CUST25085;Surabaya;-7.229.747;112.796.439;SKU-D;PersonalCare;7;85000;595000;10.5
ORD000212;14/03/2026;CUST13917;Surabaya;-7.245.021;11.277.948;SKU-D;PersonalCare;14;85000;1190000;21.0
ORD000213;13/04/2026;CUST02899;Bandung;-6.955.908;107.667.805;SKU-A;Powder;22;25000;550000;11.0
ORD000214;05/02/2026;CUST04775;Semarang;-6.970.878;110.438.235;SKU-A;Powder;22;25000;550000;11.0
ORD000215;09/11/2025;CUST27454;Surabaya;-7.301.508;1.127.751;SKU-A;Powder;15;25000;375000;7.5
ORD000216;13/11/2025;CUST28138;Surabaya;-7.231.383;112.741.836;SKU-C;Snack;7;15000;105000;1.4
ORD000217;07/01/2026;CUST06380;Semarang;-6.940.723;110.389.522;SKU-C;Snack;13;15000;195000;2.6
ORD000218;20/12/2025;CUST24428;Jember;-8.220.144;113.746.997;SKU-C;Snack;18;15000;270000;3.6
ORD000219;08/03/2026;CUST25842;Jakarta;-6.206.564;106.825.403;SKU-A;Powder;15;25000;375000;7.5
ORD000220;19/01/2026;CUST15183;Bekasi;-6.270.474;107.004.896;SKU-D;PersonalCare;7;85000;595000;10.5
ORD000221;03/01/2026;CUST18978;Bogor;-6.611.349;106.774.479;SKU-B;Beverage;16;55000;880000;19.2
ORD000222;01/11/2025;CUST05032;Kediri;-7.894.875;111.993.159;SKU-A;Powder;13;25000;325000;6.5
ORD000223;02/02/2026;CUST24237;Depok;-6.357.361;106.840.373;SKU-C;Snack;24;15000;360000;4.8
ORD000224;31/01/2026;CUST04697;Bandung;-6.966.228;10.756.956;SKU-B;Beverage;15;55000;825000;18.0
ORD000225;12/04/2026;CUST23468;Bandung;-6.966.718;107.632.783;SKU-A;Powder;11;25000;275000;5.5
ORD000226;05/12/2025;CUST01073;Yogyakarta;-7.766.135;110.393.208;SKU-D;PersonalCare;25;85000;2125000;37.5
ORD000227;23/11/2025;CUST24777;Cirebon;-6.769.146;108.600.492;SKU-D;PersonalCare;12;85000;1020000;18.0
ORD000228;12/04/2026;CUST04737;Jakarta;-6.168.044;106.855.093;SKU-A;Powder;13;25000;325000;6.5
